Stage,Comparison,Case,Description,Goal,Replicates,Δ mean,Δ mean CI,Confidence,Erratic,Regression,Improvement,Effect size,Confidence threshold,Log
Stage J,direct metric rows vs columnar v3 shard-only identity,uds_dogstatsd_to_api_v3_endpoint_fixed,Standard corrected v3 endpoint case with columnar shard-only identity optimization,ingress throughput,"3 baseline, 3 comparison",+2.83%,"[+2.44%, +3.22%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageJ-direct-metric-rows-vs-columnar-v3-shard-only-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage J,columnar v3 shard-only identity vs skip legacy flush,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Unsafe upper-bound probe skipping the empty legacy fallback flush in the metrics-only columnar case,ingress throughput,"3 baseline, 3 comparison",-0.22%,"[-0.57%, +0.14%]",56.7%,false,false,false,±20.0%,80.0%,cases/stageJ-columnar-v3-shard-only-vs-skip-legacy-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage L,columnar env-off vs columnar ingress-log,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Byte-bounded ingress log caps high-rate overload memory,ingress throughput,"1 baseline, 1 comparison",-7.79%,"[-8.42%, -7.16%]",100.0%,false,false,false,±20.0%,80.0%,cases/stageL-ingress-log-env-off-vs-enabled-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage L,direct metric rows vs columnar ingress-log,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Columnar with explicit ingress backpressure vs direct-row baseline,ingress throughput,"1 baseline, 1 comparison",+4.90%,"[+4.37%, +5.44%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageL-direct-metric-rows-vs-columnar-ingress-log-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage L,direct metric rows vs columnar ingress-log,uds_dogstatsd_to_api_v3_endpoint_fixed,Columnar with explicit ingress backpressure on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+1.22%,"[+0.53%, +1.92%]",97.5%,false,false,true,±20.0%,80.0%,cases/stageL-direct-metric-rows-vs-columnar-ingress-log-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage M,columnar ingress-log vs sharded ingress-log,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Sharded packet-batch ingress log removes Stage L pump/channel but remains packet-batch based,ingress throughput,"1 baseline, 1 comparison",-3.77%,"[-4.54%, -2.99%]",100.0%,false,false,false,±20.0%,80.0%,cases/stageM-stageL-vs-sharded-log-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage M,direct metric rows vs sharded ingress-log,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Columnar plus sharded packet-batch ingress log against direct-row baseline,ingress throughput,"1 baseline, 1 comparison",-0.09%,"[-0.77%, +0.59%]",13.5%,false,false,false,±20.0%,80.0%,cases/stageM-direct-metric-rows-vs-sharded-log-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage M,direct metric rows vs raw UDS ingress ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Columnar plus preallocated raw UDS datagram ingress ring against direct-row baseline,ingress throughput,"1 baseline, 1 comparison",+0.80%,"[+0.14%, +1.46%]",87.9%,false,false,true,±20.0%,80.0%,cases/stageM-direct-metric-rows-vs-raw-uds-ring-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage M,direct metric rows vs raw UDS ingress ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Columnar plus preallocated raw UDS datagram ingress ring on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+1.16%,"[+0.77%, +1.55%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageM-direct-metric-rows-vs-raw-uds-ring-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage N,raw UDS ring vs compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Compact byte ring copies exact datagram bytes into preallocated ring instead of reserving fixed dogstatsd_buffer_size slots,ingress throughput,"1 baseline, 1 comparison",+3.92%,"[+3.19%, +4.65%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageN-raw-uds-ring-vs-compact-raw-uds-ring-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage N,direct metric rows vs compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Columnar plus compact raw UDS ingress ring against direct-row baseline,ingress throughput,"1 baseline, 1 comparison",+7.25%,"[+6.52%, +7.97%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageN-direct-metric-rows-vs-compact-raw-uds-ring-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage N,direct metric rows vs compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Columnar plus compact raw UDS ingress ring on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+2.17%,"[+1.61%, +2.72%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageN-direct-metric-rows-vs-compact-raw-uds-ring-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage N,raw UDS ring vs compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Compact byte ring against fixed-slot raw ring on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+0.05%,"[+0.01%, +0.09%]",89.9%,false,false,true,±20.0%,80.0%,cases/stageN-raw-uds-ring-vs-compact-raw-uds-ring-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage O,compact raw UDS ring vs batch-drain compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Worker drains up to 32 raw records per shard lock acquisition and releases them as a batch,ingress throughput,"1 baseline, 1 comparison",+1.77%,"[+1.23%, +2.31%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageO-compact-raw-uds-ring-vs-batch-drain-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage O,direct metric rows vs batch-drain compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Columnar plus compact raw UDS ingress ring with batched worker drains against direct-row baseline,ingress throughput,"1 baseline, 1 comparison",+7.39%,"[+6.74%, +8.04%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageO-direct-metric-rows-vs-compact-raw-batch-drain-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage O,compact raw UDS ring vs batch-drain compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Worker batch-drain compact raw ring on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+0.18%,"[+0.01%, +0.35%]",83.4%,false,false,true,±20.0%,80.0%,cases/stageO-compact-raw-uds-ring-vs-batch-drain-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage O,direct metric rows vs batch-drain compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Columnar plus compact raw UDS ingress ring with batched worker drains on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+1.33%,"[+1.00%, +1.66%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageO-direct-metric-rows-vs-compact-raw-batch-drain-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage P,compact batch-drain raw UDS ring vs direct-compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Direct compact ring reads UDS datagrams into ring-owned max-size reservation and reclaims unused bytes on commit,ingress throughput,"1 baseline, 1 comparison",-3.30%,"[-3.90%, -2.69%]",100.0%,false,false,false,±20.0%,80.0%,cases/stageP-compact-batch-drain-vs-direct-compact-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage P,direct metric rows vs direct-compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Columnar plus direct compact raw UDS ingress ring with batched worker drains against direct-row baseline,ingress throughput,"1 baseline, 1 comparison",+4.46%,"[+3.77%, +5.15%]",100.0%,false,false,true,±20.0%,80.0%,cases/stageP-direct-metric-rows-vs-direct-compact-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage P,compact batch-drain raw UDS ring vs direct-compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Direct compact ring on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",-0.03%,"[-0.11%, +0.06%]",33.6%,false,false,false,±20.0%,80.0%,cases/stageP-compact-batch-drain-vs-direct-compact-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage P,direct metric rows vs direct-compact raw UDS ring,uds_dogstatsd_to_api_v3_endpoint_fixed,Columnar plus direct compact raw UDS ingress ring with batched worker drains on standard corrected v3 case,ingress throughput,"1 baseline, 1 comparison",+1.78%,"[+1.03%, +2.52%]",99.7%,false,false,true,±20.0%,80.0%,cases/stageP-direct-metric-rows-vs-direct-compact-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage Q,Stage O compact/batch vs native v3 serializer,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Native v3 serializer isolation high-rate probe,ingress throughput,"1 baseline, 1 comparison",+0.80%,"[-0.10%, +1.71%]",74.7%,false,false,true,±20.0%,80.0%,cases/stageQ-compact-batch-drain-vs-native-serializer-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage Q,Stage O compact/batch vs native v3 serializer,uds_dogstatsd_to_api_v3_endpoint_fixed,Native v3 serializer isolation standard probe,ingress throughput,"1 baseline, 1 comparison",-0.65%,"[-1.29%, -0.02%]",81.1%,false,false,false,±20.0%,80.0%,cases/stageQ-compact-batch-drain-vs-native-serializer-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage Q honesty,main vs Stage Q native v3,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Final main honesty high-rate fixed-v3 probe,ingress throughput,"1 baseline, 1 comparison",+8.10%,"[+7.47%, +8.73%]",100.0%,false,false,true,±20.0%,80.0%,cases/final-main-vs-stageQ-native-uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only.log
Stage Q honesty,main vs Stage Q native v3,uds_dogstatsd_to_api_v3_endpoint_fixed,Final main honesty standard fixed-v3 probe,ingress throughput,"1 baseline, 1 comparison",+1.67%,"[+1.05%, +2.28%]",99.9%,false,false,true,±20.0%,80.0%,cases/final-main-vs-stageQ-native-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Stage Q honesty,main vs Stage Q direct-series/v2,uds_dogstatsd_to_api high-rate local variant,Final main honesty high-rate v2 direct-series bridge probe,ingress throughput,"1 baseline, 1 comparison",+9.77%,"[+8.76%, +10.78%]",100.0%,false,false,true,±20.0%,80.0%,cases/final-main-vs-stageQ-v2-uds_dogstatsd_to_api_250mb_metrics_only.log
Stage Q honesty,main vs Stage Q direct-series/v2,uds_dogstatsd_to_api local variant,Final main honesty standard v2 direct-series bridge probe,ingress throughput,"1 baseline, 1 comparison",+3.27%,"[+2.50%, +4.03%]",100.0%,false,false,true,±20.0%,80.0%,cases/final-main-vs-stageQ-v2-uds_dogstatsd_to_api.log
Stage Q honesty,main vs Stage Q native v3 origin-on,uds_dogstatsd_to_api_v3_endpoint_fixed origin-on local variant,Final origin-on probe; raw ingress disables itself,ingress throughput,"1 baseline, 1 comparison",+2.68%,"[+1.69%, +3.66%]",99.9%,false,false,true,±20.0%,80.0%,cases/final-main-vs-stageQ-origin-v3-uds_dogstatsd_to_api_v3_endpoint_fixed.log
Post-Stage Q honesty,main vs Stage Q raw lag telemetry,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only,Three-replicate high-rate fixed-v3 with raw lag telemetry,ingress throughput,"3 baseline, 3 comparison",+3.62%,"[+3.35%, +3.90%]",100.0%,false,false,true,±20.0%,80.0%,cases/honesty3-main-vs-raw-lag-telemetry-v3-high.log
Post-Stage Q honesty,main vs Stage Q raw lag telemetry,uds_dogstatsd_to_api_v3_endpoint_fixed,Three-replicate standard fixed-v3 with raw lag telemetry,ingress throughput,"3 baseline, 3 comparison",+2.25%,"[+1.94%, +2.55%]",100.0%,false,false,true,±20.0%,80.0%,cases/honesty3-main-vs-raw-lag-telemetry-v3-standard.log
Stage T,main vs Stage T parser interning,uds_dogstatsd_to_api_v3_endpoint_fixed_compact_batch,Three-replicate standard fixed-v3 with SLRU string interner,ingress throughput,"3 baseline, 3 comparison",+2.98%,"[+2.60%, +3.36%]",100.0%,false,false,true,±20.0%,80.0%,captures/stageT-main-vs-parser-interning-standard.log
Stage T,main vs Stage T parser interning,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only_compact_batch,Three-replicate high-rate fixed-v3 metrics-only with SLRU string interner,ingress throughput,"3 baseline, 3 comparison",+4.88%,"[+4.52%, +5.23%]",100.0%,false,false,true,±20.0%,80.0%,captures/stageT-main-vs-parser-interning-high.log
Stage T feature cost,Stage T parser interning vs exact tagset cache,uds_dogstatsd_to_api_v3_endpoint_fixed_compact_batch,Exact raw-tagset interner feature-cost standard fixed-v3,ingress throughput,"3 baseline, 3 comparison",+0.02%,"[-0.03%, +0.08%]",42.8%,false,false,true,±20.0%,80.0%,captures/stageT-tagset-cost-standard.log
Stage T feature cost,Stage T parser interning vs exact tagset cache,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only_compact_batch,Exact raw-tagset interner feature-cost high-rate fixed-v3 metrics-only,ingress throughput,"3 baseline, 3 comparison",+21.17%,"[+21.01%, +21.32%]",100.0%,false,true,true,±20.0%,80.0%,captures/stageT-tagset-cost-high.log
Stage T tagset honesty,main vs Stage T exact tagset cache,uds_dogstatsd_to_api_v3_endpoint_fixed_compact_batch,Three-replicate standard fixed-v3 with exact raw-tagset cache enabled,ingress throughput,"3 baseline, 3 comparison",+1.60%,"[+1.43%, +1.77%]",100.0%,false,false,true,±20.0%,80.0%,captures/stageT-main-vs-parser-interning-tagset-standard.log
Stage T tagset honesty,main vs Stage T exact tagset cache,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only_compact_batch,Three-replicate high-rate fixed-v3 metrics-only with exact raw-tagset cache enabled,ingress throughput,"3 baseline, 3 comparison",+28.42%,"[+28.21%, +28.64%]",100.0%,false,true,true,±20.0%,80.0%,captures/stageT-main-vs-parser-interning-tagset-high.log
Stage U feature cost,Stage U exact tagset cache vs compact identities,uds_dogstatsd_to_api_v3_endpoint_fixed_compact_batch,Compact identity hint feature-cost standard fixed-v3,ingress throughput,"3 baseline, 3 comparison",+0.00%,"[-0.03%, +0.03%]",0.4%,false,false,true,±20.0%,80.0%,cases/stageU-compact-identity-feature-cost-standard.log
Stage U feature cost,Stage U exact tagset cache vs compact identities,uds_dogstatsd_to_api_v3_endpoint_fixed_250mb_metrics_only_compact_batch,Compact identity hint feature-cost high-rate fixed-v3 metrics-only,ingress throughput,"3 baseline, 3 comparison",+0.03%,"[-0.01%, +0.07%]",59.9%,false,false,true,±20.0%,80.0%,cases/stageU-compact-identity-feature-cost-high.log
